,loss,loss_moco,loss_sup,loss_entmin,loss_walker
1,0.003139823187763492,0.003139823187763492,0.003139823187763492,0.003139823187763492,0.003139823187763492
2,0.00031292616827413436,0.00031292616827413436,0.00031292616827413436,0.00031292616827413436,0.00031292616827413436
3,0.00016545194870947548,0.00016545194870947548,0.00016545194870947548,0.00016545194870947548,0.00016545194870947548
4,0.00011119941440410914,0.00011119941440410914,0.00011119941440410914,0.00011119941440410914,0.00011119941440410914
5,8.716852614888922e-05,8.716852614888922e-05,8.716852614888922e-05,8.716852614888922e-05,8.716852614888922e-05
6,7.003538703235487e-05,7.003538703235487e-05,7.003538703235487e-05,7.003538703235487e-05,7.003538703235487e-05
7,5.79550861264579e-05,5.79550861264579e-05,5.79550861264579e-05,5.79550861264579e-05,5.79550861264579e-05
8,5.170970411466745e-05,5.170970411466745e-05,5.170970411466745e-05,5.170970411466745e-05,5.170970411466745e-05
9,5.081365416796568e-05,5.081365416796568e-05,5.081365416796568e-05,5.081365416796568e-05,5.081365416796568e-05
10,4.258040086327431e-05,4.258040086327431e-05,4.258040086327431e-05,4.258040086327431e-05,4.258040086327431e-05
